CAS,CID,SMILES,Formula,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRings,FlashPoint_C,LFL_percent,UFL_percent,HeatOfComb_kJ_mol,BoilingPoint_C,MeltingPoint_C,AutoignitionTemp_C,VaporPressure_mmHg,Density_g_cm3,Y_NFPA_Health,Y_NFPA_Fire,Y_NFPA_React,Y_GHS_Signal,Y_GHS_H_Codes
646-24-2,69534,C(CCCCN)CCCCN,C9H22N2,158.289,1.6345000000000005,52.04,2,2,0,,,,,,,,,,,,,Danger,"H302, H314, H315, H317, H318, H319, H335"
646-25-3,1317,C(CCCCCN)CCCCN,C10H24N2,172.31599999999997,2.0246,52.04,2,2,0,,,,,,,,,,,,,Danger,"H302, H314, H318"
646-30-0,12591,CCCCCCCCCCCCCCCCCCC(=O)O,C19H38O2,298.5109999999999,6.722600000000007,37.3,1,1,0,,,,,300.0,69.4,,,,,,,Warning,"H315, H319, H335"
64665-57-2,23687327,CC1=C2C(=CC=C1)[N-]N=N2.[Na+],C7H6N3Na,155.136,-2.10058,39.88,0,2,2,,,,,,,,,,,,,Danger,"H302, H314, H318, H335, H411"
647-42-7,69537,C(CO)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C8H5F13O,364.1009999999999,4.107600000000001,20.23,1,1,0,,,,,,,,,,,,,Warning,"H302, H315, H319, H335, H373, H410, H411"
64700-56-7,47455,CCCCOCCOC(=O)COC1=NC(=C(C=C1Cl)Cl)Cl,C13H16Cl3NO4,356.6329999999999,3.780500000000002,57.650000000000006,0,5,1,,,,,370.0,,,7.9e-07,1.0,,,,Warning,"H302, H315, H317, H373, H400, H410"
6471-78-9,80961,CC1=CC(=C(C=C1S(=O)(=O)O)OC)N,C8H11NO4S,217.246,0.8325200000000001,89.62,2,4,1,,,,,,,,,,,,,Danger,"H302, H315, H318, H319, H335"
6473-13-8,22980,C1=CC(=CC=C1NC2=C(C=C(C=C2)N=NC3=C(C=C4C=CC(=CC4=C3O)N=NC5=C(C=C(C=C5)N)N)S(=O)(=O)[O-])S(=O)(=O)[O-])N=NC6=C(C=C7C=CC(=CC7=C6O)N=NC8=C(C=C(C=C8)N)N)S(=O)(=O)[O-].[Na+].[Na+].[Na+],C44H32N13Na3O11S3,1083.9909999999998,0.8625000000000023,427.05,7,24,8,,,,,,,,,,,,,Warning,H319
6476-37-5,80970,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3,C18H27P,274.388,5.4592000000000045,0.0,0,0,3,,,,,,,,,,,,,Warning,H302
6477-64-1,3045289,C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-].C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-].[Pb+2],C12H4N6O14Pb,663.3920000000003,0.5888,304.96,0,14,2,,,,,,,,,,,,,Danger,"H302, H332, H360, H373, H400, H410"
6482-24-2,80972,COCCBr,C3H7BrO,138.992,1.0277,9.23,0,1,0,,,,,,,,,,,,,Danger,"H226, H301, H315, H319, H335"
6483-73-4,160844,C1=CC=C(C=C1)CN(CC2=CC=CC=C2)C3=CC=C(C=C3)C(=C4C=CC(=[N+](CC5=CC=CC=C5)CC6=CC=CC=C6)C=C4)C7=C(C=C(C=C7)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+],C47H39N2NaO6S2,814.9610000000005,5.487400000000011,120.65,0,7,7,,,,,,,,,,,,,Warning,H319
6485-40-1,439570,CC1=CCC(CC1=O)C(=C)C,C10H14O,150.22099999999998,2.4879000000000007,17.07,0,1,1,,,,,227.0,15.0,,,0.956,,,,Warning,"H227, H302, H317"
6485-55-8,641500,CC1CNCC(O1)C,C6H13NO,115.176,0.3832,21.26,1,2,1,,,,,,,,,,,,,Danger,"H226, H302, H312, H314, H318"
6485-79-6,6327611,CC(C)[Si](C(C)C)C(C)C,C9H21Si,157.35299999999998,3.7112000000000025,0.0,0,0,0,,,,,,,,,,,,,Warning,"H226, H315, H319, H335"
6489-97-0,6713928,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N=C)C(=O)O)C,C17H19N3O4S,361.4230000000001,1.0599999999999994,99.07,2,5,3,,,,,,,,,,,,,Danger,"H317, H334"
6493-05-06,4740,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,C13H18N4O3,278.31200000000007,0.1930000000000005,78.89,0,4,2,,,,,,105.0,,,,,,,Warning,H302
6493-77-2,96926,COC(=O)C1CCC=CC1,C8H12O2,140.182,1.5156999999999998,26.3,0,2,1,,,,,,,,,,,,,Warning,"H226, H315, H319, H335"
64972-19-6,23677319,CCCCCCCCCCOCCCN(CCC(=O)O)CCC(=O)[O-].[Na+],C19H36NNaO5,381.4890000000001,-0.5455,89.9,1,5,0,,,,,,,,,,,,,Warning,"H319, H412"
65-30-5,2735101,CN1CCCC1C2=CN=CC=C2.CN1CCCC1C2=CN=CC=C2.OS(=O)(=O)O,C20H30N4O4S,422.5510000000001,3.043800000000001,106.86,2,6,4,,,,,,,,,1.15,,,,Danger,"H300, H310, H315, H319, H330, H335, H361, H371, H402, H411, H412"
